feature,value,group,dataset,layer
attr_to_inst,0.30843373493975906,general,glue_rte,embeddings
cat_to_num,0.0,general,glue_rte,embeddings
freq_class.count,2.0,general,glue_rte,embeddings
freq_class.histogram.0,0.5,general,glue_rte,embeddings
freq_class.histogram.1,0.0,general,glue_rte,embeddings
freq_class.histogram.2,0.0,general,glue_rte,embeddings
freq_class.histogram.3,0.0,general,glue_rte,embeddings
freq_class.histogram.4,0.0,general,glue_rte,embeddings
freq_class.histogram.5,0.0,general,glue_rte,embeddings
freq_class.histogram.6,0.0,general,glue_rte,embeddings
freq_class.histogram.7,0.0,general,glue_rte,embeddings
freq_class.histogram.8,0.0,general,glue_rte,embeddings
freq_class.histogram.9,0.5,general,glue_rte,embeddings
freq_class.iq_range,0.0016064257028112205,general,glue_rte,embeddings
freq_class.kurtosis,-2.75,general,glue_rte,embeddings
freq_class.max,0.5016064257028112,general,glue_rte,embeddings
freq_class.mean,0.5,general,glue_rte,embeddings
freq_class.median,0.5,general,glue_rte,embeddings
freq_class.min,0.4983935742971888,general,glue_rte,embeddings
freq_class.nancount,2.0,general,glue_rte,embeddings
freq_class.nanhistogram.0,0.5,general,glue_rte,embeddings
freq_class.nanhistogram.1,0.0,general,glue_rte,embeddings
freq_class.nanhistogram.2,0.0,general,glue_rte,embeddings
freq_class.nanhistogram.3,0.0,general,glue_rte,embeddings
freq_class.nanhistogram.4,0.0,general,glue_rte,embeddings
freq_class.nanhistogram.5,0.0,general,glue_rte,embeddings
freq_class.nanhistogram.6,0.0,general,glue_rte,embeddings
freq_class.nanhistogram.7,0.0,general,glue_rte,embeddings
freq_class.nanhistogram.8,0.0,general,glue_rte,embeddings
freq_class.nanhistogram.9,0.5,general,glue_rte,embeddings
freq_class.naniq_range,0.0016064257028112205,general,glue_rte,embeddings
freq_class.nankurtosis,-2.75,general,glue_rte,embeddings
freq_class.nanmax,0.5016064257028112,general,glue_rte,embeddings
freq_class.nanmean,0.5,general,glue_rte,embeddings
freq_class.nanmedian,0.5,general,glue_rte,embeddings
freq_class.nanmin,0.4983935742971888,general,glue_rte,embeddings
freq_class.nanpnorm,0.707110430701653,general,glue_rte,embeddings
freq_class.nanpowersum,0.5000051612070773,general,glue_rte,embeddings
freq_class.nanquantiles.0,0.4983935742971888,general,glue_rte,embeddings
freq_class.nanquantiles.1,0.4991967871485944,general,glue_rte,embeddings
freq_class.nanquantiles.2,0.5,general,glue_rte,embeddings
freq_class.nanquantiles.3,0.5008032128514056,general,glue_rte,embeddings
freq_class.nanquantiles.4,0.5016064257028112,general,glue_rte,embeddings
freq_class.nanrange,0.003212851405622441,general,glue_rte,embeddings
freq_class.nansd,0.002271829015860359,general,glue_rte,embeddings
freq_class.nanskewness,0.0,general,glue_rte,embeddings
freq_class.nansum,1.0,general,glue_rte,embeddings
freq_class.nanvar,5.161207077305048e-06,general,glue_rte,embeddings
freq_class.pnorm,0.707110430701653,general,glue_rte,embeddings
freq_class.powersum,0.5000051612070773,general,glue_rte,embeddings
freq_class.quantiles.0,0.4983935742971888,general,glue_rte,embeddings
freq_class.quantiles.1,0.4991967871485944,general,glue_rte,embeddings
freq_class.quantiles.2,0.5,general,glue_rte,embeddings
freq_class.quantiles.3,0.5008032128514056,general,glue_rte,embeddings
freq_class.quantiles.4,0.5016064257028112,general,glue_rte,embeddings
freq_class.range,0.003212851405622441,general,glue_rte,embeddings
freq_class.sd,0.002271829015860359,general,glue_rte,embeddings
freq_class.skewness,0.0,general,glue_rte,embeddings
freq_class.sum,1.0,general,glue_rte,embeddings
freq_class.var,5.161207077305048e-06,general,glue_rte,embeddings
inst_to_attr,3.2421875,general,glue_rte,embeddings
nr_attr,768.0,general,glue_rte,embeddings
nr_bin,0.0,general,glue_rte,embeddings
nr_cat,0.0,general,glue_rte,embeddings
nr_class,2.0,general,glue_rte,embeddings
nr_inst,2490.0,general,glue_rte,embeddings
nr_num,768.0,general,glue_rte,embeddings
num_to_cat,,general,glue_rte,embeddings
can_cor.count,0.0,statistical,glue_rte,embeddings
can_cor.histogram.0,,statistical,glue_rte,embeddings
can_cor.histogram.1,,statistical,glue_rte,embeddings
can_cor.histogram.2,,statistical,glue_rte,embeddings
can_cor.histogram.3,,statistical,glue_rte,embeddings
can_cor.histogram.4,,statistical,glue_rte,embeddings
can_cor.histogram.5,,statistical,glue_rte,embeddings
can_cor.histogram.6,,statistical,glue_rte,embeddings
can_cor.histogram.7,,statistical,glue_rte,embeddings
can_cor.histogram.8,,statistical,glue_rte,embeddings
can_cor.histogram.9,,statistical,glue_rte,embeddings
can_cor.iq_range,,statistical,glue_rte,embeddings
